片名,封面链接,剧照链接,年份,地区,类型,豆瓣评分,时长,导演,编剧,主演,简介,下载地址
2018年惊悚动作《薄荷杀手》BD中英双字幕,https://extraimage.net/images/2018/11/20/eccfb0f5a34ce8ea0d7024af8d979afc.jpg,https://lookimg.com/images/2018/11/22/c21fJ.jpg,2018,美国,剧情/动作/惊悚,6.2/10 from 192 users,102分钟,['皮埃尔·莫瑞尔 Pierre Morel'],['查德·圣·约翰 Chad St. John'],"['詹妮弗·加纳 Jennifer Garner', '小约翰·加拉赫 John Gallagher Jr.', '约翰·奥提兹 John Ortiz', '胡安·巴勃罗·拉瓦 Juan Pablo Raba', '安妮·伊隆泽 Annie Ilonzeh', '杰夫·赫普内尔 Jeff Hephner', '凯莱·弗莱明 Cailey Fleming', '埃迪·辛 Eddie Shin', '马索·曼恩 Method Man', '泰森·里特 Tyson Ritter', '伊恩·卡塞尔伯里 Ian Casselberry', '理查德·卡夫拉尔 Richard Cabral', '约翰尼·奥蒂斯 Johnny Ortiz']",故事聚焦在一位母亲的身上。一次在外游玩的过程中，她的孩子和丈夫被黑帮悉数杀害。原本遵纪守法的她希望借助于法律的力量制裁这些罪犯，但整个城市的警察和司法系统已经完全腐败。最后，这位失去一切的母亲，只好自己拿起了枪和武器，展开了复仇。,ftp://ygdy8:ygdy8@yg90.dydytt.net:8421/阳光电影www.ygdy8.com.薄荷杀手.BD.720p.中英双字幕.mkv
2018年动作《反贪风暴3》BD国粤双语中字,https://extraimage.net/images/2018/10/26/a56f982b41186687fdc2e6eff6ebcc01.jpg,https://lookimg.com/images/2018/11/22/c25jD.jpg,2018,中国香港,剧情/动作/犯罪,5.8/10 from 22378 users,97分钟,['林德禄 David Lam'],"['黄浩华 Ho-Wa Wong', '何文龙 Wen Long Ho']","['古天乐 Louis Koo', '张智霖 Julian Cheung', '郑嘉颖 Kevin Cheng', '邓丽欣 Stephy Tang', '栢天男 Adam Pak', '谢天华 Michael Tse', '张继聪 Louis Cheung', '夏嫣 Anika', '蔡瀚亿 Babyjohn Choi', '廖启智 Kai Chi Liu', '谭耀文 Patrick Tam', '卢海鹏 Hoi-Pang Lo', '罗兰 Lan Law', '麦长青 Cheung-Ching Mak', '张松枝 Deno Cheung', '陈庭欣 Toby Chan', '丁海峰 Haifeng Ding', '冯雷 Lei Feng', '李昕岳 Xinyue Li']","ICAC (廉政公署) 陆志廉（古天乐 饰），JFIU (联合财富情报组) 刘保强（张智霖 饰）分别侦查贪污及洗黑钱案，但苦无线索，这时廉政公署L组 (内部纪律调查组) 程德明（郑嘉颖 饰）收到Eva（邓丽欣 饰）举报，指陆志廉收贿1,200万，陆无法辩解即时停职。刘发现陆被诬陷，并跟一直调查的洗黑钱案有着千丝万缕关系，同时怀疑银行主任游子新（栢天男 饰）协助犯罪集团首脑王海禾（谭耀文 饰）洗黑钱；中国反贪局侦查处处长洪亮（丁海峰 饰）来港，给刘保强提供了重要情报，原来洗黑钱案牵涉内地贪腐官员，陆港合力打击贪腐；陆亦冒险搜集罪证却遭禁锢，命悬一线……",ftp://ygdy8:ygdy8@yg45.dydytt.net:8358/阳光电影www.ygdy8.com.反贪风暴3.BD.720p.国粤双语中字.mkv
2018年获奖动画《幸福路上》BD国语中字,https://extraimage.net/images/2018/11/22/70f962d3d62cb8ca4f5d0c0724058778.jpg,https://lookimg.com/images/2018/11/22/c2FIg.jpg,2017,中国台湾,动画,7.6/10 from 1687 users,111分钟,['宋欣颖 Hsin-yin Sung'],['宋欣颖 Hsin Yin Sung'],"['桂纶镁 Lunmei Gwei', '魏德圣 Te-Sheng Wei', '陈博正 Bor Jing Chan', '廖慧珍 Hui-Jen Liao']",小琪 (桂綸鎂 聲演) 生於蔣介石逝世當天，成長過程正是台灣社會經歷最劇烈轉變的時期。 小琪六歲那年舉家搬到新北市幸福路，為了滿足父母期望，她力爭上游，但也許幸福本來就沒有捷徑。 她一步步走上當初沒預期的路，到美國工作、結婚，走到人生的瓶頸，因外婆去世，重返老家，回首童年過程中，慢慢思索自己走過的路：「長大了，我有成為理想中的大人嗎？」,ftp://ygdy8:ygdy8@yg45.dydytt.net:7358/阳光电影www.ygdy8.com.幸福路上.BD.720p.国语中字.mkv
2018年西部片《巴斯特·斯克鲁格斯的歌谣》BD中英双字幕,https://extraimage.net/images/2018/11/16/4b3b9a3ddd2120d995f35cda93be0395.jpg,https://lookimg.com/images/2018/11/20/c7KVE.jpg,2018,美国,西部/剧情,8.0/10 from 99 users,132分钟,"['伊桑·科恩 Ethan Coen', '乔尔·科恩 Joel Coen']", ,"['蒂姆·布雷克·尼尔森 Tim Blake Nelson', '詹姆斯·弗兰科 James Franco', '佐伊·卡赞 Zoe Kazan', '泰恩·黛莉 Tyne Daly', '拉尔夫·尹爱森 Ralph Ineson', '斯蒂芬·鲁特 Stephen Root', '连姆·尼森 Liam Neeson', '汤姆·威兹 Tom Waits', '布莱丹·格里森 Brendan Gleeson']",《The Ballad Of Buster Scruggs》聚焦一位牛仔歌手。《Near Algodones》讲述一位生活在高平原之上的流浪者因为自己一无所有虚度光阴而决定抢劫银行以及尝试赶牛。《Meal Ticket》根据一名演员和一档旅游节目主持人之间的关系而展开故事。《All Gold Canyon》讲述一名教授因发现一座金矿而欣喜若狂，又因为随即到来的邪恶侵占势力而面临险境。《The Gal Who Got Rattled》聚焦两位俄勒冈小道的工头和一名乘坐马车的女人，女人需要其中一人的帮助，并且将某人当作潜在结婚对象加以考察。《The Mortal Remains》讲述五位身份不同的陌生人乘坐同一辆驿马车前往某处神秘地点的故事。,ftp://ygdy8:ygdy8@yg90.dydytt.net:8420/阳光电影www.ygdy8.com.巴斯特·斯克鲁格斯的歌谣.BD.720p.中英双字幕.mkv
2018年动作喜剧《我的间谍前男友》BD国英双语双字,https://extraimage.net/images/2018/10/18/efa6d139e28098fe4d4057813276f690.jpg,http://images2.imagebam.com/b4/39/f6/5ec5201037136924.jpg,2018,美国,喜剧/动作,"6.9/10 from 2,553 users",117分钟,['苏珊娜·福格尔 Susanna Fogel'], ,"['米拉·库尼斯 Mila Kunis', '凯特·麦克金农 Kate McKinnon', '贾斯汀·塞洛克斯 Justin Theroux', '萨姆·修汉 Sam Heughan', '薇尔玛·斯泽克斯 Vilma Szécsi', '哈桑·明哈杰 Hasan Minhaj', '凯文·亚当斯 Kev Adams', '吉莲·安德森 Gillian Anderson', '伊万娜·萨赫诺 Ivanna Sakhno', '简·库丁 Jane Curtin', '保罗·雷瑟 Paul Reiser', '弗雷德·迈拉麦德 Fred Melamed', '詹姆斯·弗雷特 James Fleet', '卡罗琳·皮克尔斯 Carolyn Pickles', '贾斯婷·瓦希伯格 Justine Wachsberger', '汤姆·斯托顿 Tom Stourton', '罗德里克·希尔 Roderick Hill']",奥黛丽（米拉·库妮丝 饰）和摩根（凯特·迈克金农 饰）两位好闺蜜，因奥黛丽前男友的间谍身份，意外被卷入一场国际阴谋，她们开始与各位杀手斗智斗勇，在一名可疑但有魅力的英国特工带领下，实施拯救世界的计划，在欧洲大陆上演惊心动魄又啼笑皆非的国际逃亡之旅。,ftp://ygdy8:ygdy8@yg45.dydytt.net:8355/阳光电影www.ygdy8.com.我的间谍前男友.BD.720p.国英双语双字.mkv
2018年科幻剧情《乔纳森》BD中英双字幕,https://extraimage.net/images/2018/11/16/69f9cac878db5704d3efc2586bce2326.jpg,http://images2.imagebam.com/e3/e4/73/3a0a111037137004.jpg,2018,美国,剧情/科幻, ,95分钟,['Bill Oliver'],['Bill Oliver / Gregory Davis / Peter Nickowitz'],"['安塞尔·艾尔高特 Ansel Elgort', '派翠西娅·克拉克森 Patricia Clarkson', '苏琪·沃特豪斯 Suki Waterhouse', '马特·波莫 Matt Bomer', '道格拉斯·霍奇斯 Douglas Hodges', '乔·埃根德尔 Joe Egender', '泰欧·拉普-奥尔森 Teo Rapp-Olsson', '苏利芒·西尔·萨瓦内 Souleymane Sy Savane', 'Jeff Kim', 'Alaska L. McFadden', 'Julie Mickelson', 'Shunori Ramanathan', 'Ian Unterman']",影片由比尔·奥利弗自编自导。片中塞尔·艾尔高特一人分饰两角，扮演双胞胎兄弟，故事讲述乔纳森原本阻止兄弟约翰和艾琳娜(苏琪·沃特豪斯饰)热恋，然而当自己爱情的春天到来时，一切都发生了变化。,ftp://ygdy8:ygdy8@yg90.dydytt.net:8419/阳光电影www.ygdy8.com.乔纳森.BD.720p.中英双字幕.mkv
2018年纪录片《张艺谋和他的“影”》HD国语中字,https://extraimage.net/images/2018/11/16/a7bc3f14d02309915af170d002e17c4d.jpg,https://lookimg.com/images/2018/11/18/c9oFU.jpg,2018,中国,纪录片,7.1/10 from 1255 users,94分钟,['汪鹏 Peng Wang'], ,"['张艺谋 Yimou Zhang', '赵小丁 Xiaoding Zhao', '陈敏正 Minzheng Chen', '马光荣 Horace Ma', '谷轩昭 Huan-Chiu Ku', '白晓妍 Xiaoyan Bai', '王星会 Xinghui Wang', '黄海 Hai Huang', '捞仔 Lao Zai', '张涛 Tao Zhang', '封柏 Bai Feng', '贾文瑞', '任茂成', '邓超 Chao Deng', '孙俪 Li Sun', '郑恺 Kai Zheng', '王千源 Qianyuan Wang', '胡军 Jun Hu', '关晓彤 Xiaotong Guan', '吴磊 Lei Wu', '王景春 Jingchun Wang']",本片纪录《影》诞生的全过程，展现张艺谋导演及电影主创如何把创意、文字变成一幅完整的水墨丹青的美学画卷。选取幕后电影人作为记录对象，包括演员、美术、摄影、道具、服装、剪辑等各个工种的工作人员，讲述他们为电影中每一帧拍摄做出的细致考量。影片揭示邓超一人分饰两角的秘密，邓超孙俪夫妇互怼互黑的日常，聚光灯外不问收获但问耕耘的幕后英雄，让观众了解中国电影工业的全貌，体验电影人非凡匠心的感动瞬间。,ftp://ygdy8:ygdy8@yg45.dydytt.net:4101/阳光电影www.ygdy8.com.张艺谋和他的影.HD.1080p.国语中字.mp4
2018年冒险《阿尔法：狼伴归途》BD国英双语双字阿尔法：狼伴归途,https://extraimage.net/images/2018/10/26/5eb69271261e4bc695ccbd82a2b180d2.jpg,https://lookimg.com/images/2018/10/26/e5Keo.jpg,2018,美国,剧情/冒险,6.5/10 from 11517 users,96分钟,['艾尔伯特·休斯 Albert Hughes'],"['达恩·威登霍普 Daniele Sebastian Wiedenhaupt', '艾尔伯特·休斯 Albert Hughes']","['柯蒂·斯密特-麦菲 Kodi Smit-McPhee', '约翰内斯·豪克尔·约翰内森 Jóhannes Haukur Jóhannesson', '娜塔莎·迈尔兹 Natassia Malthe', '蕾奥娜·维埃拉 Leonor Varela', '延斯·赫尔腾 Jens Hultén', '梅赛德斯·德拉泽尔达 Mercedes de la Zerda', '普里亚·拉贾拉特南 Priya Rajaratnam', '斯潘塞·博加特 Spencer Bogaert', '帕特里克·弗拉纳根 Patrick Flanagan', '迈克尔·克鲁斯-代赫勒 Michael Kruse-Dahl', '马辛·科瓦奇克 Marcin Kowalczyk']",故事发生于两万年前的欧洲北部，地球正处于弱肉强食的冰川时期。心地善良的男主角科达是部落首领的儿子，在一次部落集体狩猎中，科达不慎跌落悬崖，众人以为科达已死，但大难不死的科达被洪水卷走幸存下来，只身流落荒野。途中科达与一匹野狼相遇，给它起名阿尔法，意即狼群首领。科达在与其相处的过程中逐渐成长，学习“狼性”并存有“仁心”。这对人狼搭档在险恶的世界中相互为伴，一起踏上返乡之路，人与狼之间第一次建立了友谊。随后的种种奇遇，甚至改变了人类和世界的未来……,ftp://ygdy8:ygdy8@yg90.dydytt.net:8418/阳光电影www.ygdy8.com.阿尔法：狼伴归途.BD.720p.国英双语双字.mkv
2018年动作《海军陆战队员6：近距离击杀》BD中英双字幕,https://extraimage.net/images/2018/11/17/4ec7979d12ab6a01b6ef8a5ab140c69f.jpg,https://lookimg.com/images/2018/11/17/iHjyV.jpg,2018,美国,动作/犯罪, , ,['詹姆斯·纳恩 James Nunn'],['Craig Walendziak'],"['迈克尔·米赞宁 ...Jake Carter', '肖恩·迈克尔斯 Shawn Michaels ....Luke Trapper', '亚力克·纽曼 Alec Newman ....Patrick Dillon', '迈克尔·希格斯 Michael Higgs ....Graham Torrence', 'Hester Ruoff ....Kelly', 'Rebecca Quin ....Maddy Hayes', 'Louisa Connolly-Burnham ....Sarah Dillon', '特伦斯·梅纳德 Terence Maynard ....Shawn Taylor', '蒂姆·伍德沃德 Tim Woodward ....Tommy Walker', '马丁·福特 Martyn Ford ....Oscar Hayes', 'Anna Demetriou ....Katrina Rodriguez', 'Daniel Adegboyega ....Lewis Rooney', 'Ellie Goffe ....Kind Juror', 'David William Bryan ....Angry Juror', 'Lee Charles ....John', 'Tom Cheshire ....Blackjack', 'Franco Flammia ....Andy', 'Serhat Metin ....Ahmed', 'Christopher Mulvin ....Young Detective', 'George Russo ....Detective']",《海军陆战队员》正式开拍系列第六部。第五部《杀戮战场》原班人马，包括导演詹姆斯·纳恩和主演迈克尔·米赞宁也已回归续集的制作。此部海军陆战队员讲述杰克·卡特和另一位前海军陆战队员卢克从国际犯罪组织手中被绑架的女孩的故事。,ftp://ygdy8:ygdy8@yg45.dydytt.net:4100/阳光电影www.ygdy8.com.海军陆战队员6：近距离击杀.BD.720p.中英双字幕.mkv
2018年喜剧《公主大对换》BD中英双字幕,https://extraimage.net/images/2018/11/17/b4b0dbc0f1990b350f558e5cd6694c7c.jpg,https://lookimg.com/images/2018/11/17/iIpgq.jpg,2018,美国,喜剧/爱情/家庭, ,101分钟,['麦克·罗尔 Mike Rohl'],['Robin Bernheim/Megan Metzger'],"['凡妮莎·哈金斯 Vanessa Hudgens', '山姆·帕莱迪奥 Sam Palladio', 'Alexa Adeosun', 'Suanne Braun', 'Adi Gheo', 'Nick Sagar']",距离圣诞节还有一周，美丽的蒙特纳罗女公爵玛格丽特与长相跟自己一模一样的芝加哥平民史黛西对换了身份。在圣诞老人助手的魔法下，玛格丽特爱上了史黛西英俊的同事，而史黛西则爱上了玛格丽特的未婚夫，一位风度翩翩的王子。,ftp://ygdy8:ygdy8@yg90.dydytt.net:8417/阳光电影www.ygdy8.com.公主大对换.BD.720p.中英双字幕.mkv
